AffiliationKey;Affiliation;Institution;Country
0102UOSBC;"University of Santander; Bucaramanga; Colombia";Universidad de Santander;Colombia
0103TUOSBC;"Technology Unit of Santander; Bucaramanga; Colombia";Universidad Industrial de Santander;Colombia
0104SOEUONFJF3US;"School of Engineering; University of North Florida; Jacksonville; FL 32224; United States";University of North Florida;United States
0105SOIESSTUBC;"School of Industrial Engineering; SIGMMA; St. Thomas University; Bucaramanga; Colombia";St. Thomas University;Colombia
0106ISADUCM8EF;"IT/Télécom SudParis; ARTEMIS Department; UMR CNRS MAP5 8145; Evry; France";Télécom SudParis;France
0107ATRCWSUDO4US;"Assistive Technologies Research Center; Wright State University; Dayton; OH 45435; United States";Wright State University;United States
0108NIOA(BM2US;"National Institute on Aging (NIH); Baltimore; MD 21225; United States";National Institute on Aging (NIH);United States
0109TSERISFCUS;"The Smith-Kettlewell Eye Research Institute; San Francisco; CA; United States";The Smith-Kettlewell Eye Research Institute;United States
0110DOCSCCONY-CNYUS;"Department of Computer Science; City College of New York - CUNY; New York; United States";City College of New York - CUNY;United States
0111DOPCCONY-CNYUS;"Department of Psychology; City College of New York - CUNY; New York; United States";City College of New York - CUNY;United States
0112DOEEACSCCGJM;"Department of Electrical Engineering and Computer Science; CINVESTAV Campus Guadalajara Jalisco; Mexico";CINVESTAV;Mexico
0113MLFLRUOMTCMUS;"Minnesota laboratory for Low-Vision Research; University of Minnesota; Twin Cities; MN; United States";University of Minnesota;United States
0114UOSTSPMUS;"University of St. Thomas; St. Paul; MN; United States";University of St. Thomas;United States
0115UOSCLACUS;"University of Southern California; Los Angeles; CA; United States";University of Southern California;United States
0116AMEC(MGMUS;"Advanced Medical Electronics Corporation (AME); Maple Grove; MN; United States";University of Minnesota;United States
0117DOMEDUOT2CDM2N;"Department of Mechanical Engineering; Delft University of Technology; 2628 CD Delft; Mekelweg 2; Netherlands";Delft University of Technology;Netherlands
0118DOMEULQQG1ADLMC;"Department of Mechanical Engineering; Université Laval; Québec; QC G1V0A6; 1065 avenue de la médecine; Canada";Université Laval;Canada
0119DDIUDSDMI;"Dipartimento di Informatica; Università Degli Studi di Milano; Italy";University of Milan;Italy
0120DOCESPIOTMI;"Dept. of Computer Engineering; Sardar Patel Institute of Technology; Mumbai; India";Sardar Patel Institute of Technology;India
0121EACEUOMA0MUS;"Electrical and Computer Engineering; University of Massachusetts; Amherst; 01003; MA; United States";University of Massachusetts Amherst;United States
0122TUB1RBC;"Tsinghua University; Beijing; 100084; Rohm Building; China";Tsinghua University;China
0123DOMAABEUOTKTUS;"Department of Mechanical; Aerospace and Biomedical Engineering; University of Tennessee; Knoxville; TN; United States";University of Tennessee;United States
0124SOMSATDOCSAEIIOTKK7I;"School of Medical Science and Technology; Department of Computer Science and Engineering; Indian Institute of Technology Kharagpur; Kharagpur; 721302; India";Indian Institute of Technology Kharagpur;India
0125DOOMMCAHM7I;"Department of Ophthalmology; Midnapore Medical College and Hospital; Medinipur; 721101; India";Midnapore Medical College and Hospital;India
0126DOEACECUPWA;"Department of Electrical and Computer Engineering; Curtin University; Perth; WA; Australia";Curtin University;Australia
0127ISADUC8MEF;"IT/Télécom SudParis; ARTEMIS Department; UMR CNRS 8145 MAP5; Evry; France";IT/Télécom SudParis;France
0128NCRLTAC7LCA;"NICTA Canberra Research Laboratory; Tower A; Canberra; 7 London Circuit; Australia";NICTA;Australia
0129DONJCSOMRANUCA;"Department of Neuroscience; John Curtin School of Medical Research; Australian National University; Canberra; Australia";Australian National University;Australia
0130DOOJHUBMUS;"Department of Ophthalmology; Johns Hopkins University; Baltimore; MD; United States";Johns Hopkins University;United States
0131EACEDTUMM8G;"Electrical and Computer Engineering Department; Technische Universitärt Mürnchen; Mürnchen; 80333; Germany";Technische Universität München;Germany
0132GIMVUS;"Google; Inc.; Mountain View; United States";Google;United States
0133UPOBFOACACSI3BR;"University Politehnica of Bucharest; Faculty of Automatic Control and Computers; Splaiul independentei; 313; Bucharest; Romania";University Politehnica of Bucharest;Romania
0134EDBIOTBI;"EEE Department; BNM Institute of Technology; Bangalore; India";Indian Institute of Science;India
0135SOCCTAELBULL3UK;"School of Computing; Creative Technologies; and Engineering; Leeds Beckett University; Leeds; LS6 3QL; United Kingdom";Leeds Beckett University;United Kingdom
0136DIRCFOSEACKUSK2UK;"Digital Imaging Research Centre; Faculty of Science; Engineering; and Computing; Kingston University; Surrey; KT1 2EE; United Kingdom";Kingston University;United Kingdom
0137SOCAISFOSEACKUSK2UK;"School of Computing and Information Systems; Faculty of Science; Engineering; and Computing; Kingston University; Surrey; KT1 2EE; United Kingdom";Kingston University;United Kingdom
0138RICMUP1PUS;"Robotics Institute; Carnegie Mellon University; Pittsburgh; 15213; PA; United States";Carnegie Mellon University;United States
0139SOEATCMUMP4MUS;"School of Engineering and Technology; Central Michigan University; Mt Pleasant; 48859; MI; United States";Central Michigan University;United States
0140VTDRADSTUCI;"Vel Tech Dr. Rr and Dr. Sr Technical University; Chennai; India";Vel Tech Dr. RR & Dr. SR University;India
0141SOEEVDRADSTUAC6I;"School of Electrical Engineering; Veltech DR RR and DR SR Technical University; Avadi; Chennai 62; India";Veltech Dr RR and Dr SR Technical University;India
0142VACI;"Veltech; Avadi; Chennai; India";Veltech;India
0143UOPI;"University of Pisa; Italy";University of Pisa;Italy
0144MIOTUS;"Massachusetts Institute of Technology; United States";Massachusetts Institute of Technology;United States
0145DOCEMECTEKI;"Department of Computer Engineering; Model Engineering College; Thrikkakara; Ernakulam; Kerala; India";Model Engineering College;India
0146SOKUOBCVBC;"School of Kinesiology; University of British Columbia; Vancouver; BC; Canada";University of British Columbia;Canada
0147ICORDUOBCVBC;"International Collaboration on Repair Discoveries; University of British Columbia; Vancouver; BC; Canada";University of British Columbia;Canada
0148NPTVBC;"NeuroMotion Physical Therapy; Vancouver; BC; Canada";University of British Columbia;Canada
0149DOMDOPMARUOBCVBC;"Department of Medicine; Division of Physical Medicine and Rehabilitation; University of British Columbia; Vancouver; BC; Canada";University of British Columbia;Canada
0150GSRCVBC;"GF Strong Rehabilitation Centre; Vancouver; BC; Canada";British Columbia Institute of Technology;Canada
0151DOPTUOBCVBC;"Department of Physical Therapy; University of British Columbia; Vancouver; BC; Canada";University of British Columbia;Canada
0152DOEACESECPT6I;"Department of Electronics and Communication Engineering; Sudharsan Engineering College; Pudukkottai; Tamilnadu; 622501; India";Sudharsan Engineering College;India
0153TDFOEUPOBR;"Telecommunication Department; Faculty of ETTI; University Politehnica of Bucharest; Romania";University Politehnica of Bucharest;Romania
0154ADIMTUCM8EF;"ARTEMIS Department; Institut Mines-Télécom; TélécomSudParis; UMR CNRS MAP5 8145; Evry; France";TélécomSudParis;France
0155DOEATVESIOTMM4I;"Department of Electronics and Telecommunication; Vivekanand Education Society's Institute of Technology; Mumbai; Maharashtra; 400074; India";Vivekanand Education Society's Institute of Technology;India
0156DOCEVESIOTMM4I;"Department of Computer Engineering; Vivekanand Education Society's Institute of Technology; Mumbai; Maharashtra; 400074; India";Vivekanand Education Society's Institute of Technology;India
0157IFAUKEW1M3G;"Institut f. Automation u. Kommunikation e.V.; Werner-Heisenberg-Str. 1; Magdeburg; 39106; Germany";Institut f. Automation u. Kommunikation e.V.;Germany
0158FIFICIN8N9G;"Fraunhofer Institute for Integrated Circuits IIS; Nordostpark 84; Nuremberg; 90411; Germany";Fraunhofer Institute for Integrated Circuits IIS;Germany
0159GRCFAI(E5B2G;"German Research Center for Artificial Intelligence (DFKI); Enrique-Schmidt-Str. 5; Bremen; 28359; Germany";German Research Center for Artificial Intelligence (DFKI);Germany
0160UDSDMDOCSMI;"Università degli Studi di Milano; Deptartment of Computer Science; Milan; Italy";University of Milan;Italy
0161ETMI;"EveryWare Technologies; Milan; Italy";Politecnico di Milano;Italy
0162DOICMUCRS;"Department of IEEAC; Castilla-La Mancha University; Ciudad Real; Spain";Castilla-La Mancha University;Spain
0163UMNGBC;"Universidad Militar Nueva Granada; Bogotá; Colombia";Universidad Militar Nueva Granada;Colombia
0164AUOSATDOTAAM3K3P;"AGH University of Science and Technology; Department of Telecommunications; Al. A. Mickiewicza 30; Krakow; 30-059; Poland";AGH University of Science and Technology;Poland
0165UPDSLPM;"Universidad Politécnica de San Luis Potosí; Mexico";Universidad Politécnica de San Luis Potosí;Mexico
0166SOIT(MUMA;"School of Information Technology (Caulfield); Monash University; Melbourne; Australia";Monash University;Australia
0167DOCSAITLTUA;"Department of Computer Science and Information Technology; La Trobe University; Australia";La Trobe University;Australia
0168SOPFOHSACUBA;"School of Psychology; Faculty of Health Sciences; Australian Catholic University; Brisbane; Australia";Australian Catholic University;Australia
0169PUFDIPARB;"PUCRS University; Faculdade de Informatica; Porto Alegre; RS; Brazil";PUCRS;Brazil
0170MCUK;"Microsoft; Cambridge; United Kingdom";Microsoft Research Cambridge;United Kingdom
0171MRWUS;"Microsoft; Redmond; WA; United States";Microsoft Research;United States
0172MBI;"Microsoft; Bangalore; India";Microsoft Research India;India
0173UPOBSI3BR;"University Politehnica of Bucharest; Splaiul Independentei; 313; Bucharest; Romania";University Politehnica of Bucharest;Romania
0174UPOBBR;"University Politehnica of Bucharest; Bucharest; Romania";University Politehnica of Bucharest;Romania
0175SIUET1G9H;"Széchenyi István University; Egyetem tér 1; Gyõr; 9026; Hungary";Széchenyi István University;Hungary
0176SIUET1H;"Széchenyi István University; Egyetem tér 1.; Hungary";Széchenyi István University;Hungary
0177UOISOEANSFOIEMEACSVRI;"University of Iceland; School of Engineering and Natural Sciences; Faculty of Industrial Engineering; Mechanical Engineering and Computer Science; VR-2/V02-237; Reykjavik; Iceland";University of Iceland;Iceland
0178DOEAIUB;"Department of EEE; American International University-Bangladesh; Bangladesh";American International University-Bangladesh;Bangladesh
0179DOCBUB;"Department of CSE; BRAC University; Bangladesh";BRAC University;Bangladesh
0180SOCADTBCUBUK;"School of Computing and Digital Technology; Birmingham City University; Birmingham; United Kingdom";Birmingham City University;United Kingdom
0181DOCQHEBUK;"Department of Computing; QA Higher Education; Birmingham; United Kingdom";Birmingham City University;United Kingdom
0182DOBAQHEBUK;"Department of Business Administration; QA Higher Education; Birmingham; United Kingdom";Birmingham City University;United Kingdom
0183MAVCLNYUBUS;"Multimedia and Visual Computing Lab; New York University; Brooklyn; United States";New York University;United States
0184TSOENYUBUS;"Tandon School of Engineering; New York University; Brooklyn; United States";"Tandon School of Engineering; New York University";United States
0185NADADUAE;"NYU Abu Dhabi; Abu Dhabi; United Arab Emirates";New York University Abu Dhabi;United Arab Emirates
0186NLMCNYNUS;"NYU Langone Medical Center; New York; NY; United States";NYU Langone Medical Center;United States
0187IOCAISCUOTDS7C4P;"Institute of Computer and Information Science; Czestochowa University of Technology; Dabrowskiego Street 73; Czestochowa; 42-201; Poland";Czestochowa University of Technology;Poland
0188FOMEACSAKS2C4P;"Faculty of Mechanical Engineering and Computer Science; Armii Krajowej Street 21; Czestochowa; 42-201; Poland";Czestochowa University of Technology;Poland
0189RICMUPUS;"Robotics Institute; Carnegie Mellon University; Pittsburgh; United States";Carnegie Mellon University;United States
0190DOCSAEUOBB0CUS;"Department of Computer Science and Engineering; University of Bridgeport; Bridgeport; 06604; CT; United States";University of Bridgeport;United States
0191DOCECOCAITTUSA;"Department of Computer Engineering; College of Computers and Information Technology; Taif University; Saudi Arabia";Taif University;Saudi Arabia
0192DOCSCOCAITTUSA;"Department of Computer Science; College of Computers and Information Technology; Taif University; Saudi Arabia";Taif University;Saudi Arabia
0193DOMIDNDI;"Department of Mathematics; IIT Delhi; New Delhi; India";Indian Institute of Technology Delhi;India
0194DOEEIDNDI;"Department of Electrical Engineering; IIT Delhi; New Delhi; India";IIT Delhi;India
0195SOISAECSUC4C;"School of Information Science and Engineering; Central South University; Changsha; 410083; China";Central South University;China
0196KLOHPFNRVRTSOCAIEHUOCC4C;"Key Laboratory of Hunan Province for New Retail Virtual Reality Technology; School of Computer and Information Engineering; Hunan University of Commerce; Changsha; 410205; China";Hunan University of Commerce;China
0197IIGEG;"iXpoint Informationssysteme GmbH; Ettlingen; Germany";Karlsruhe Institute of Technology;Germany
0198VSG;"VWA-Hochschule; Stuttgart; Germany";VWA-Hochschule;Germany
0199SCFTVIKIOTKG;"Study Centre for the Visually Impaired; Karlsruhe Institute of Technology; Karlsruhe; Germany";Karlsruhe Institute of Technology;Germany
0200SOSEBUOPATBC;"School of Software Engineering; Beijing University of Posts and Telecommunications; Beijing; China";Beijing University of Posts and Telecommunications;China
0201HIICMUP1PUS;"Human-Computer Interaction Institute; Carnegie Mellon University; Pittsburgh; 15213; PA; United States";Carnegie Mellon University;United States
0202DOESVCOEATCAI;"Dept. of ECE; Sri Venkateswara College of Engineering and Technology; Chittoor; A.P; India";Sri Venkateswara College of Engineering and Technology;India
0203BEDUOGGUK;"Biomedical Engineering Department; University of Glasgow; Glasgow; United Kingdom";University of Glasgow;United Kingdom
0204CECTDTEDM(UDVDISJB;"Centro em Ciências Tecnológicas da Terra e do Mar (CTTMar); Universidade do Vale do Itajaí; São José; Brazil";Universidade do Vale do Itajaí;Brazil
0205LAOSAIPFOSATUHIB5S2M;"Laboratory: Analysis of Systems and Information Processing; Faculty of Sciences and Techniques; University Hassan I; BP 577; Settat; 26000; Morocco";University Hassan I;Morocco
0206DOSESLIOITMSL;"Department of Software Engineering; Sri Lanka Institute of Information Technology; Malabe; Sri Lanka";Sri Lanka Institute of Information Technology;Sri Lanka
0207DOITSLIOITMSL;"Department of Information Technology; Sri Lanka Institute of Information Technology; Malabe; Sri Lanka";Sri Lanka Institute of Information Technology;Sri Lanka
0208DOISESLIOITMSL;"Department of Information Systems Engineering; Sri Lanka Institute of Information Technology; Malabe; Sri Lanka";Sri Lanka Institute of Information Technology;Sri Lanka
0209SCFTVIKIOTE4K7G;"Study Centre for the Visually Impaired; Karlsruhe Institute of Technology; Engesserstr. 4; Karlsruhe; 76131; Germany";Karlsruhe Institute of Technology;Germany
0210RSKL;"Rubedo sistemos; Kaunas; Lithuania";Kaunas University of Technology;Lithuania
0211KUOTKL;"Kaunas University of Technology; Kaunas; Lithuania";Kaunas University of Technology;Lithuania
0212SUOTGP;"Silesian University of Technology; Gliwice; Poland";Silesian University of Technology;Poland
0213DRLCSAAILMIOTC0MUS;"Distributed Robotics Laboratory; Computer Science and Artificial Intelligence Laboratory; Massachusetts Institute of Technology; Cambridge; 02139; MA; United States";Massachusetts Institute of Technology;United States
